condition_name,type,applies_to,enabled,config_knob,config_value,description,applies_to_signals,bypass_reasons,vec_engine_wired
SCALP_V3_HTF_DIRECTION_GATE,ENTRY_GATE,crypto,True,SCALP_V3_BYPASS_HTF_DIRECTION_GATE,True (bypass),HTF direction must confirm for scalp entry (bypassed when configured),SCALP entries,bypass when BYPASS=True,True
OB_ENTRY_GATE,ENTRY_GATE,crypto,False,OB_ENTRY_GATE_ACCOUNTS,[] (empty),Orderbook entry gate for specified accounts (DISABLED),all entries,none,False
WT_DC_ENTRY_BAR_MATURITY_BLOCK,ENTRY_GATE,tradier,False,WT_DC_ENTRY_BAR_MATURITY_BLOCK_ENABLED,False,Block WT_DC entry if bar not mature enough,WT_DC entries,none,False
DC_TIER4_BAR_MATURITY_BLOCK,ENTRY_GATE,tradier,False,DC_TIER4_BAR_MATURITY_BLOCK_ENABLED,False,Block DC Tier4 entry if bar not mature enough,DC Tier4 entries,none,False
SPY_REGIME_GATE,ENTRY_GATE,both,N/A,SPY_REGIME_GATE_ENABLED,varies,"Block longs below SPY regime threshold, shorts above",LONG/SHORT entries,none,True
HAIKU_ENTRY_GATE,ENTRY_GATE,both,N/A,HAIKU_ENTRY_GATE_ENABLED,varies,Block entry based on haiku K threshold gate,all entries,none,True
GR_HTF_GATE,ENTRY_GATE,tradier,False,GR_HTF_GATE_ENABLED,False,GR HTF alignment gate using wt_bull/bear_alignment (DISABLED),all entries,none,False
K_ZONE_VETO,ENTRY_GATE,tradier,False,K_ZONE_VETO_ENABLED_TRADIER,False,K-zone veto on WT_DC path entries (DISABLED),WT_DC entries,none,False
WT_COMPOSITE_VETO,ENTRY_GATE,tradier,False,WT_COMPOSITE_VETO_ENABLED_TRADIER,False,WT composite scoring veto on WT_DC entries (DISABLED),WT_DC entries,none,False
DC_ENTRY_VETO,ENTRY_GATE,tradier,False,DC_ENTRY_VETO_ENABLED_TRADIER,False,DC position entry threshold veto (DISABLED),all entries,none,False
TRADIER_REENTRY_RZ_BLOCK,ENTRY_GATE,tradier,False,TRADIER_REENTRY_RZ_BLOCK_ENABLED,False,Block reentry in red zone (DISABLED per user mandate),REENTRY,none,False
RED_ZONE_TRADIER,ENTRY_GATE,tradier,True,RED_ZONE_TRADIER_GATE_ENABLED,True,Block entry near heatmap red zone (deep OI + distance < threshold),all entries,none,False
CLENOW_REGIME_FILTER,FILTER,tradier,True,CLENOW_REGIME_FILTER,True,Only hold when SPY > SMA200 (Clenow),CLENOW entries,none,False
DELTA_ATR_ENTRY_FILTER,FILTER,tradier,True,DELTA_ATR_ENTRY_FILTER,True,ATR filter on delta entries for stocks,DELTA entries,none,True
R1_DC_LOW4_3M_EMERGENCY,EXIT_SIGNAL,both,False (tradier) / True (crypto implicit),R1_DC_LOW4_3M_EMERGENCY_ENABLED,False (tradier),Newborn-window DC channel breach emergency close (R1). Fires within first N minutes.,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
R2_WT_VEL_SLOW,EXIT_SIGNAL,both,True,WT_15M_VEL_SLOW_AT_ZERO_GAIN_ENABLED,True,WT velocity slowdown near breakeven — dynamic deceleration ratio (R2),CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
R3_HTF_FLIP_EXIT,EXIT_SIGNAL,crypto,False,R3_HTF_FLIP_EXIT_ENABLED,False,Daily close + parallel 4h structural flip exit (R3) — DISABLED,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
R4_STDEV_MACRO_EXIT,EXIT_SIGNAL,both,False (crypto) / N/A,STDEV_MACRO_R4_EXIT_ENABLED,False,Long-window z-score macro top/bottom exit,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
WT_CROSSUNDER_FINAL,EXIT_SIGNAL,both,True,WT_CROSSUNDER_FINAL_ENABLED,True,WT cross-under exit on 5m/15m with hold bar minimum,CLOSE,PARABOLIC bypass when enabled,True
DELTA_EXIT,EXIT_SIGNAL,both,True,DELTA_EXIT_ENABLED (tradier),True,Delta engine exit — TOP/BOTTOM/BASELINE/SMART_RZ exit variants,CLOSE,none,True
SCALP_V3_CLOSE,EXIT_SIGNAL,crypto,True,SCALP_V3_ENABLED,True,"Scalp V3 exits: bar_reversal, k_cross, wt_flip, stdev_reject, profit-only mode",CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
SCALP_V3_PROTECTIVE_EXIT,EXIT_SIGNAL,crypto,True,SCALP_V3_PROTECTIVE_EXIT_ENABLED,True,Scalp V3 protective exit — max-loss stop for scalp positions,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
PARTIAL_PROFIT_LOCK,EXIT_SIGNAL,both,True (crypto) / False (tradier),PARTIAL_PROFIT_LOCK_ENABLED,True (crypto) / False (tradier),"3-step take-profit: 50% at +0.5%, stop to BE, then remainder on stop hit",REDUCE/CLOSE,none,True
NOLOSS_BYPASS_WT_5OF5,EXIT_SIGNAL,tradier,True,NOLOSS_BYPASS_WT_5OF5_ENABLED,True,Allow loss exit when ALL 5 WT TFs flip against position,CLOSE,bypasses NOLOSS,True
PEAK_GIVEBACK,EXIT_SIGNAL,both,True,PEAK_GIVEBACK_PROTECTION_ENABLED / PEAK_GIVEBACK_DROP_TRIGGER_ENABLED,True / True,Exit when gain drops from peak by threshold pct,CLOSE,none,True
BREAKEVEN_GAIN_EROSION,EXIT_SIGNAL,both,False,BREAKEVEN_GAIN_EROSION_ENABLED,False,Exit when gain erodes from positive peak to near zero,CLOSE,none,True
SENTIMENT_FADE,EXIT_SIGNAL,tradier,True,SENTIMENT_FADE_PROXY_ENABLED,True,Exit on WT-based sentiment fade with LTF contradiction guard,REDUCE/CLOSE,LTF guard blocks if >=2/5 LTF signals WITH position,True
BB_RECOVERY_EXIT,EXIT_SIGNAL,tradier,True,BB_RECOVERY_EXIT_ENABLED_TRADIER,True,Unlock stranded positions stuck above BB_1h,CLOSE,none,True
STOCH_CROSS_1H_EXIT,EXIT_SIGNAL,tradier,True,STOCH_CROSS_1H_EXIT_ENABLED,True,Stochastic cross on 1h triggers exit,CLOSE,none,False
ALL_TF_AGAINST_CLOSE,EXIT_SIGNAL,crypto,True,ALL_TF_AGAINST_CLOSE_ENABLED,True,Close primary when ALL TFs against — hedge becomes main position,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,False
WT15M_AGAINST_FORCE_CLOSE,EXIT_SIGNAL,crypto,True,N/A,N/A,WT 15m against position — hedge or close regardless,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,False
DC_BB_D_BREAK_REVERSE,EXIT_SIGNAL,crypto,True,DC_BB_D_BREAK_REVERSE_ENABLED,True,D-band break/cross-back wrong-side close,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,False
RIDICULOUS_HOLD,EXIT_SIGNAL,crypto,False,RIDICULOUS_HOLD_GUARD_ENABLED,False,Close position held too long (>48h default). DISABLED.,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE when enabled,False
WRONG_SIDE_ABS_KILL,EXIT_SIGNAL,tradier,True,WRONG_SIDE_ABS_KILL_ENABLED,True,Catastrophe close when 4/5 WT against + divergence confirmed,CLOSE,none,False
GR_HTF_DIRECT_EXIT,EXIT_SIGNAL,crypto,True,GR_EXIT_ENABLED,True,GR HTF direct exit — close when 18+ indicator score against trade,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
FROZEN_ACTIVATION_STOP,EXIT_SIGNAL,both,True,FROZEN_ACTIVATION_STOP_ENABLED,True,Close when price breaches frozen DC level at entry AND gain<0,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE (FROZEN_ACT_STOP_FROZEN_BREACH),True
DC_LOW4_STOP,EXIT_SIGNAL,tradier,False,DC_LOW4_STOP_ENABLED,False,Stop at DC low-4 bar 5m level recorded at entry (DISABLED),CLOSE,none,True
DC_LOW_FROZEN_STOP,EXIT_SIGNAL,both,False,DC_LOW_FROZEN_STOP_ENABLED,False,Generalized frozen stop at DC level (DISABLED),CLOSE,none,True
BB_FROZEN_STOP,EXIT_SIGNAL,both,True (crypto) / False (tradier),BB_FROZEN_STOP_ENABLED,True (crypto) / False (tradier),Freeze BB lower/upper/basis at entry as stop level,CLOSE,none,True
NEWBORN_LOSS_KILL,EXIT_SIGNAL,crypto,N/A,N/A,N/A,Close newborn position with gain below threshold (ORDI protection),CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
