field,quickconfig_line,scope_basis,venue_applicability,vector_status,vector_evidence_file_line,backtest_v12_live_status,backtest_v12_live_evidence_file_line,ez_crypto_live_status,ez_crypto_live_evidence_file_line,tradier_live_status,tradier_live_evidence_file_line,exact_contract,gap_reason
BAND_SLOPE_SIZING_V2_SLOPE_NORM_PCT_DAY,4461,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7894:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21267:execute_trade_action:getattr;ez_positions_quick.py:1333:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21106:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BAND_SLOPE_SIZING_V2_TF,4458,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7883:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21259:execute_trade_action:getattr;ez_positions_quick.py:1325:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21097:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BASE_TF,3414,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:3311:_base_tf:getattr;v12_quick_engine.py:7984:_bar_minutes:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:1081:_v12_mi_entry_claim:resolver;tradier_manage.py:1124:_v12_lifecycle_context:resolver;tradier_manage.py:829:_v12_wt_exit_reason:resolver;tradier_manage.py:904:_v12_kindergarten_entry_allowed:resolver;tradier_manage.py:967:_v12_decision_source:resolver;tradier_manage.py:991:_v12_additive_entry_claim:resolver,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer
BB_BREAKOUT_ENABLED,4284,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:5674:compute_reentry_blocks:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:4358:rate:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7279:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BB_BREAKOUT_SCORE,4286,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6340:_combine_entry_blocks:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:4365:rate:getattr;ez_positions_quick.py:4367:rate:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7283:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BB_BREAKOUT_TF,4285,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:5675:compute_reentry_blocks:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:4359:rate:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7280:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BB_ENTRY_LONG_THRESHOLD,4071,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6007:compute_reentry_blocks:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:35074:calculate_final_order_quantity:attribute;ez_manage.py:35079:calculate_final_order_quantity:attribute,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7532:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BB_ENTRY_SHORT_THRESHOLD,4072,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6007:compute_reentry_blocks:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:35082:calculate_final_order_quantity:attribute;ez_manage.py:35087:calculate_final_order_quantity:attribute,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7533:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BB_FROZEN_STOP_ENABLED,4462,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13553:simulate_one:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:10779:run_simulation_tradier:getattr;backtest_v12_engine.py:4935:run_simulation:getattr;backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:40713:process_position:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no causal Tradier consumer
BB_PCTB_ENTRY_ENABLED,4306,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6006:compute_reentry_blocks:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7529:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer
BB_PULLBACK_GATE_ENABLED,4463,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6663:_exact_entry_contract_masks:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7421:process_position:_cfg;tradier_manage.py:7423:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer
BB_PULLBACK_GATE_LONG_MAX,4464,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:6666:_exact_entry_contract_masks:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:7431:process_position:_cfg;tradier_manage.py:7433:process_position:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer
