contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
11,COLD_START_OPEN_BYPASS_SUPPRESS_SEC,ENTRY,01_ENTRY_SIGNALS,float,30.0,[30.0],"Read COLD_START_OPEN_BYPASS_SUPPRESS_SEC with authoritative default 30.0 at ez_manage.py:24240:execute_now:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24240:execute_now:getattr,execute_now,"[""MTF_ARMED_ENTRY_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""60.0"",""source"":""READ_FALLBACK:ez_manage.py:24240"",""value"":60.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
12,DC_BB_CROSSBACK_HYSTERESIS_PCT,ENTRY,01_ENTRY_SIGNALS,float,2.0,[2.0],"Read DC_BB_CROSSBACK_HYSTERESIS_PCT with authoritative default 2.0 at ez_manage.py:41905:process_position:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:41905:process_position:getattr,process_position,"[""BB_BREAKOUT_CONT_ENABLED""]",THRESHOLD_PREDICATE,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""2.0"",""source"":""READ_FALLBACK:ez_manage.py:41905"",""value"":2.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
13,DC_BREAKOUT_ALLOW_15M,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read DC_BREAKOUT_ALLOW_15M with authoritative default False at ez_positions_quick.py:15598:worker:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:15598:worker:getattr,worker,[],THRESHOLD_PREDICATE,"[""dc_high_15m"",""dc_high_1h"",""dc_high_3m"",""dc_high_4h"",""dc_low_15m"",""dc_low_1h"",""dc_low_3m"",""dc_low_4h"",""wt1_15m"",""wt1_3m"",""wt2_15m"",""wt2_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""15m""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_positions_quick.py:15598"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0"",""field"":""dc_low_3m""},{""expression"":""0"",""field"":""dc_low_15m""},{""expression"":""0"",""field"":""dc_low_1h""},{""expression"":""0"",""field"":""dc_low_4h""},{""expression"":""0"",""field"":""dc_high_3m""},{""expression"":""0"",""field"":""dc_high_15m""},{""expression"":""0"",""field"":""dc_high_1h""},{""expression"":""0"",""field"":""dc_high_4h""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
14,DC_BREAKOUT_ALLOW_3M,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read DC_BREAKOUT_ALLOW_3M with authoritative default False at ez_positions_quick.py:15599:worker:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:15599:worker:getattr,worker,[],THRESHOLD_PREDICATE,"[""dc_high_15m"",""dc_high_1h"",""dc_high_3m"",""dc_high_4h"",""dc_low_15m"",""dc_low_1h"",""dc_low_3m"",""dc_low_4h"",""wt1_15m"",""wt1_3m"",""wt2_15m"",""wt2_3m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_positions_quick.py:15599"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0"",""field"":""dc_low_3m""},{""expression"":""0"",""field"":""dc_low_15m""},{""expression"":""0"",""field"":""dc_low_1h""},{""expression"":""0"",""field"":""dc_low_4h""},{""expression"":""0"",""field"":""dc_high_3m""},{""expression"":""0"",""field"":""dc_high_15m""},{""expression"":""0"",""field"":""dc_high_1h""},{""expression"":""0"",""field"":""dc_high_4h""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
15,DD_BOUNCE_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read DD_BOUNCE_ENABLED with authoritative default False at ez_manage.py:32935:evaluate_augmentation:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:32935:evaluate_augmentation:getattr,evaluate_augmentation,[],THRESHOLD_PREDICATE,"[""wt1_4h"",""wt1_4h_prev"",""wt1_D"",""wt1_D_prev"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_manage.py:32935"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
16,DD_BOUNCE_REQUIRE_HIGHER_PRICE,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read DD_BOUNCE_REQUIRE_HIGHER_PRICE with authoritative default True at ez_manage.py:32943:evaluate_augmentation:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:32943:evaluate_augmentation:getattr,evaluate_augmentation,"[""DD_BOUNCE_ENABLED"",""DD_BOUNCE_WT_D_ENABLED""]",THRESHOLD_PREDICATE,"[""wt1_4h"",""wt1_4h_prev"",""wt1_D"",""wt1_D_prev"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:32943"",""value"":true}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""i.get(\""wt2_D\"""",""field"":""wt1_D_prev""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
17,DD_BOUNCE_REQUIRE_HIGHER_WT,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read DD_BOUNCE_REQUIRE_HIGHER_WT with authoritative default True at ez_manage.py:32942:evaluate_augmentation:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:32942:evaluate_augmentation:getattr,evaluate_augmentation,"[""DD_BOUNCE_ENABLED"",""DD_BOUNCE_WT_D_ENABLED""]",THRESHOLD_PREDICATE,"[""wt1_4h"",""wt1_4h_prev"",""wt1_D"",""wt1_D_prev"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:32942"",""value"":true}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""i.get(\""wt2_D\"""",""field"":""wt1_D_prev""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
18,DD_BOUNCE_WT_D_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read DD_BOUNCE_WT_D_ENABLED with authoritative default True at ez_manage.py:32948:evaluate_augmentation:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:32948:evaluate_augmentation:getattr,evaluate_augmentation,[],THRESHOLD_PREDICATE,"[""wt1_D"",""wt1_D_prev"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""D""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:32948"",""value"":true}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""i.get(\""wt2_D\"""",""field"":""wt1_D_prev""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
19,DELTA_ENTRY_MIN_TF,ENTRY,01_ENTRY_SIGNALS,int,3,[3],"Read DELTA_ENTRY_MIN_TF with authoritative default 3 at ez_manage.py:7712:__init__:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:7712:__init__:getattr,__init__,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""2"",""source"":""READ_FALLBACK:ez_manage.py:7712"",""value"":2}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
20,DELTA_ENTRY_SCORE_BONUS,ENTRY,01_ENTRY_SIGNALS,int,15,[15],"Read DELTA_ENTRY_SCORE_BONUS with authoritative default 15 at ez_positions_quick.py:2397:rate:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2397:rate:getattr,rate,"[""WT_COMPOSITE_HTF_GATE"",""WT_COMPOSITE_SCORING_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""15"",""source"":""READ_FALLBACK:ez_positions_quick.py:2397"",""value"":15}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
