field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
HEDGE_MAX_AGE_KILL_REQUIRE_PROFIT,EXIT,True,SOURCE_EXACT,hedge_max_age_exit,ez_positions_quick.py:6704-6721,NONE,is_hedge|gain_pct|age_minutes|position_active,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,When enabled hedge gain must cover commission buffer
HEDGE_SCALP_C_REQUIRE_COMBINED_NONNEG,EXIT,True,SOURCE_EXACT,hedge_scalp_close,ez_positions_quick.py:5879-5894,NONE,is_hedge|gain_pct|age_minutes|origin_gain_pct|origin_max_loss_since_hedge_pct,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Rule C combined floor equals twice commission buffer
HEDGE_SCALP_MAX_AGE_MIN,EXIT,15.0,SOURCE_EXACT,hedge_scalp_close,ez_positions_quick.py:5879-5894,NONE,is_hedge|gain_pct|age_minutes|origin_gain_pct|origin_max_loss_since_hedge_pct,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Controls stuck losing hedge Rule C only
LOSS_EXIT_HEDGE_MODE_BLOCK_ESCAPE_ENABLED,REDUCE,False,SOURCE_EXACT,stop_functions_kill_reduce,ez_manage.py:45507-45542,stoch_k_3m|stoch_d_3m,stop_signal|gain_pct|qty|start_qty|hedge_account|covering_hedge|unhedged_age_minutes,FAST_BRANCH_CAN_FIRE_WITHOUT_ARRAYS_OTHERWISE_ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|STOP,REDUCE|STOP,Escape requires no covering hedge gain below -15 and unhedged age above 30 minutes
LOSS_EXIT_STOP_FUNCTIONS_KILL_ENABLED,REDUCE,False,SOURCE_EXACT,stop_functions_kill_reduce,ez_manage.py:45449-45625,stoch_k_3m|stoch_d_3m,stop_signal|gain_pct|age_minutes|qty|start_qty|manage_reduce|recently_reduced|strict_no_loss_account,FAST_BRANCH_CAN_FIRE_WITHOUT_ARRAYS_OTHERWISE_ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|STOP,REDUCE|STOP,Enabled fast branch requires gain below -5 and size above five start units
LR_BAND_E02_EXIT_ENABLED,EXIT,False,SOURCE_EXACT,lr_band_e02_exit,ordinary_ladder_contract.py:187-238;tradier_manage.py:1900-1924,e02 source_close_ts/availability_ts/completed_close/prior_low_n30/prior_high_n30 4h,position_active|position_above_min_qty|seen_parent_tokens,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Shared completed-parent contract consumes every causal 4h token once
NEW_POSITION_MAX_LOSS_THRESHOLD,FILTER,-0.7,SOURCE_EXACT,loss_protection_filter,ez_manage.py:4442-4475,NONE,gain_pct|last_augmentation_age_seconds|has_last_augmentation|position_active,N/A,consume_lifecycle_actions:REDUCE|STOP,REDUCE|STOP,Gain below threshold is explicitly not protected
NEW_POSITION_MIN_AGE_SECONDS,FILTER,180.0,SOURCE_EXACT,loss_protection_filter,ez_manage.py:4450-4475,NONE,gain_pct|last_augmentation_age_seconds|has_last_augmentation|position_active,N/A,consume_lifecycle_actions:REDUCE|STOP,REDUCE|STOP,Only used when ENABLE_LOSS_PROTECTION is false
RIDICULOUS_HOLD_GUARD_ENABLED,STOP,False,SOURCE_EXACT,ridiculous_hold_guard_exit,ez_manage.py:41746-41831,NONE,gain_pct|age_minutes|position_active|position_above_min_qty,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Master for catastrophic-loss and age branches
RIDICULOUS_HOLD_HOURS,STOP,720.0,SOURCE_EXACT,ridiculous_hold_guard_exit,ez_manage.py:41755-41791,NONE,gain_pct|age_minutes|position_active|position_above_min_qty,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Strict greater-than age comparison matches live
RIDICULOUS_HOLD_REQUIRE_GAIN_NONNEG,FILTER,True,SOURCE_EXACT,ridiculous_hold_guard_exit,ez_manage.py:41766-41791,NONE,gain_pct|age_minutes|position_active|position_above_min_qty,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Preserves live inverse branch: true means nonnegative; false means negative
RIDICULOUS_LOSS_PCT,STOP,-15.0,SOURCE_EXACT,ridiculous_hold_guard_exit,ez_manage.py:41754-41765,NONE,gain_pct|position_active|position_above_min_qty,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Catastrophic branch uses inclusive gain <= threshold
TREND_HEDGE_MAX_SEC,EXIT,180,SOURCE_EXACT,trend_hedge_expiry_exit,ez_positions_quick.py:5954-5964,NONE,is_hedge|trend_account|age_minutes|position_active,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Zero disables and positive age is strict greater-than
WT_4H_VEL_EXIT_LONG_VEL_MIN,EXIT,-2.0,SOURCE_EXACT,wt_4h_velocity_exit,position_evaluator.py:637-662;position_evaluator.py:754-778,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|age_minutes|position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,LONG uses strict velocity below configured threshold
WT_4H_VEL_EXIT_SHORT_VEL_MIN,EXIT,2.0,SOURCE_EXACT,wt_4h_velocity_exit,position_evaluator.py:637-662;position_evaluator.py:754-778,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|age_minutes|position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,SHORT uses strict velocity above configured threshold
CLOSE_FOOTHOLD_ENABLED,EXECUTION,True,REJECTED_EXECUTION_ONLY,,ez_manage.py:22999-23020,NONE,broker order quantity|symbol steps,N/A,NONE,NONE,Changes order slicing and webhook route after REDUCE decision; not a causal strategy predicate
EXIT_ON_ALL_ENABLED,EXIT,False,REJECTED_EXTERNAL_EVENT_STATE,,ez_manage.py:15749-15840,NONE,external signal category|leaderboard membership|account routing,N/A,NONE,NONE,Signal-message account router is not reconstructable from symbol NPZ bars
HEDGE_EXIT_DELTA_CHECK_ENABLED,EXIT,False,REJECTED_NO_PERSISTED_CAUSAL_OUTPUT,,ez_positions_quick.py:6454-6469,NONE,stateful delta_tracker.update output,N/A,NONE,NONE,No native persisted delta tracker output exists; a proxy would violate exact semantics
MAKER_CLOSE_COMMISSION_FLOOR_ENABLED,EXECUTION,False,REJECTED_EXECUTION_ONLY,,ez_manage.py:23044-23260,NONE,broker order state|commission floor TTL,N/A,NONE,NONE,Execution admission after an exit decision is not an indicator exit predicate
PARTIAL_PROFIT_LOCK_USE_MAKER,EXECUTION,True,REJECTED_EXECUTION_ONLY,,ez_manage.py:44439-44470,NONE,broker order route,N/A,NONE,NONE,Selects maker versus immediate execution after partial-lock decision
RATIO_EMERGENCY_EXIT_COOLDOWN,EXIT,999999.0,REJECTED_SOURCE_INERT,,ez_manage.py:31877-31901,NONE,portfolio loop state,N/A,NONE,NONE,Owning route is hard-disabled by _ree_enabled=False
RATIO_EMERGENCY_EXIT_ENABLED,EXIT,False,REJECTED_SOURCE_INERT,,ez_manage.py:31877-31901,NONE,portfolio loop state,N/A,NONE,NONE,Configured master is never consulted because owning route is hard-disabled
RATIO_EMERGENCY_EXIT_MAX_LOSS_PCT,EXIT,-999.0,REJECTED_SOURCE_INERT,,ez_manage.py:31877-31901,NONE,portfolio loop state,N/A,NONE,NONE,Owning route is hard-disabled by _ree_enabled=False
RATIO_EMERGENCY_EXIT_MAX_PER_CYCLE,EXIT,0,REJECTED_SOURCE_INERT,,ez_manage.py:31877-31901,NONE,portfolio loop state,N/A,NONE,NONE,Owning route is hard-disabled by _ree_enabled=False
RATIO_EMERGENCY_EXIT_THRESHOLD,EXIT,999.0,REJECTED_SOURCE_INERT,,ez_manage.py:31877-31901,NONE,portfolio loop state,N/A,NONE,NONE,Owning route is hard-disabled by _ree_enabled=False
