key,family,class,successor_knob,consumer_file_line,behaviour_when_honoured,behaviour_now,git_commit_removed,impact_rank,notes
BTC_BREAKOUT_USE_LEGACY_ACCEL_REVERSAL,EXIT_BTC_BREAKOUT,ORPHANED_KNOB,(none),"btc_loop.py:542 getattr(cfg,...,False)",Legacy acceleration-reversal exit path for BTC breakouts,Defaults to False = legacy path off. Cannot be turned on via override.,6d16ded1 2026-04-28,3,Genuine orphan; the lost capability is an explicitly LEGACY path.
V8_ENTRY_ENGINE_WT_ENABLED,ENTRY_ENGINE,REMOVED_WITH_CODE,(none),"old/fake_engine.py:454,2889",Enabled the WT arm of the v8 vectorized entry engine,"Ignored. Live entry generation runs through check_entry_candidates(), which never read this.",ee1b7cc5 / efc08799,1,Sounds load-bearing; is a vec-engine internal toggle only.
V8_ENTRY_ENGINE_DC_ENABLED,ENTRY_ENGINE,REMOVED_WITH_CODE,(none),"old/fake_engine.py:456,2901",Enabled the Donchian arm of the v8 vectorized entry engine,Ignored. Same as above.,ee1b7cc5 / efc08799,1,Vec-engine internal toggle only.
DYNAMIC_SCORE_AUGMENT_ENABLED,SIZING_AUGMENT,REMOVED_WITH_CODE,(none),"old/fake_engine.py:764,5317",Scaled augment size by the live entry score,Ignored. No live consumer.,efc08799 2026-05-10 / d3e4d95a,2,Sizing-family; would matter if a consumer existed.
AUGMENT_WT_4H_BOUNCE_ENABLED,SIZING_AUGMENT,NEVER_EXISTED,(none),"rapid_grid_sweep.py:44-46,101-102 (grid only)",Nothing -- never had an implementation,config.py:1601 states verbatim: No live equivalent yet -- wire as AUGMENT_WT_4H_BOUNCE_ENABLED when sweep validates on full 50-sym,(no removal commit -- never added),2,PROOF the override file contains aspirational knobs that were never implemented anywhere.
PARTIAL_EXIT_FRAC,EXIT_PARTIAL,REMOVED_WITH_CODE,PARTIAL_PROFIT_LOCK_FRAC,"old/fake_engine.py:768,5264; exit_sweep_targeted.py:38-55 (grid only)",Fraction of position closed at the first take-profit target,"Ignored. Superseded in live by the PARTIAL_PROFIT_LOCK v2 3-step ladder (PARTIAL_PROFIT_LOCK_FRAC), which IS in config.py.",ee1b7cc5 / efc08799,2,Closest thing to a true RENAMED case: functionality survived under a new name.
WT_DIV_EXIT_ENABLED,EXIT_WT,REMOVED_WITH_CODE,(none),"old/fake_engine.py:396,3239; v8_vec_sweep.py:513 (declaration only)",Exit on WT divergence against the position,"Declared in v8_vec_sweep.py but absent from config.py, so live never sees it.",ee1b7cc5 / efc08799,3,"Exit-family, lowest rank per impact ordering."
WT_ACCEL_EXIT_ENABLED,EXIT_WT,REMOVED_WITH_CODE,(none),old/fake_engine.py:404; v8_vec_sweep.py (decl only); exit_sweep_targeted.py:32-54 (grid),Exit on WT acceleration reversal,Ignored by live.,ee1b7cc5 / efc08799,3,Exit-family.
WT_MOMENTUM_EXIT_THRESHOLD,EXIT_WT,REMOVED_WITH_CODE,(none),"old/fake_engine.py:393,3230; v8_vec_sweep.py:522 (decl only)",Threshold of WT momentum loss that triggers an exit,Ignored by live.,ee1b7cc5 / efc08799,3,Exit-family.
QUICK_REENTRY_60MIN_MIN_PCT,REENTRY,REMOVED_WITH_CODE,REENTRY price-cross gate (single-sourced 2026-06-25),"old/fake_engine.py:347,5439",Required price to move >=0.3% from exit price before a 60-minute quick reentry,Ignored. Live reentry is governed by the single-sourced price-cross gate + DUPLICATE_OPEN_GUARD gain gate.,ee1b7cc5 / efc08799,2,"Functionally superseded, not lost."
DC_LOW4_BYPASS_USE_STANDARD,EXIT_R1_DC,REMOVED_WITH_CODE,R1_USE_DC_4BAR,"old/fake_engine.py:99,4960",Chose dc_low_LTF (standard) vs dc_low4_LTF (4-bar) for the DC bypass,"Ignored. Live R1 exposes the same choice as R1_USE_DC_4BAR, which IS in config.py.",efc08799 2026-05-10,2,RENAMED in effect -- successor exists and is wired.
HEDGE_DETERIORATING_GAIN_WINDOW_BARS,HEDGE,REMOVED_WITH_CODE,(none),"old/fake_engine.py:281,5144",Lookback window for detecting a deteriorating hedge,Ignored. HEDGE_MODE=False system-wide; hedging banned per 2026-05-29 protection model.,ee1b7cc5 / efc08799,3,Moot -- hedging is deliberately disabled.
RATIO_SENTIMENT_FILTER_ENABLED,SENTIMENT,REMOVED_WITH_CODE,RATIO_MULTIPLIER / market_sentiment_score,"old/fake_engine.py:834,2588",Gated entries on the long/short ratio sentiment score,Ignored. Live uses RATIO_MULTIPLIER=3.0 and runtime market_sentiment_score instead.,ee1b7cc5 / efc08799,2,Superseded by the runtime ratio path (ez_positions_quick.py).
RATIO_SENTIMENT_SHORT_MAX,SENTIMENT,REMOVED_WITH_CODE,(none),"old/fake_engine.py:836,2590",Max sentiment score permitted for a SHORT entry,Ignored.,ee1b7cc5 / efc08799,2,Sub-parameter of the above.
INTRADAY_SESSION_FORCE_EXIT_UTC,EXIT_SESSION,REMOVED_WITH_CODE,(none),"old/fake_engine.py:540,4943",Force-closed intraday positions at a fixed UTC second-of-day,Ignored. No live consumer.,ee1b7cc5 / efc08799,3,Crypto is 24/7; knob was stocks-shaped and lived in a crypto override.
