Queue_Row,Switch,Classification,Classification_Reason,Family,Groups,Source_Sheets,QuickConfig_Declared,Default,Type,Authoritative_Values,Values_Source,Parents,Parent_Context,TF_Support_Mode,TF_Support,Native_Base_TF,Vector_Read,Vector_Causal_Read,Live_Read,Live_Crypto_Read,Live_Tradier_Read,Parity_Status,Semantic_Cert_Status,Semantic_Cert_Reason,Repair_Owner,Exact_Venue,Exact_Side,Witness_Target,Missing_Data_Policy,Entry_Lifecycle_Witness,Alias_Of,Batch_ID,Batch_Slot,BTCUSDC_LONG_Status,BTCUSDC_LONG_Reason,BTCUSDC_SHORT_Status,BTCUSDC_SHORT_Reason,MU_LONG_Status,MU_LONG_Reason,MU_SHORT_Status,MU_SHORT_Reason
11,ABLATION_DISABLE_HIGH_GAIN_AUGMENT,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_HIGH,AUGMENT|ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,10,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
12,ABLATION_DISABLE_PERIODIC_REENTRY,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_PERIODIC,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D|REENTRY,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,11,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
13,ABLATION_DISABLE_QUICK_ENTRY,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_QUICK,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,False,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,CRYPTO,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,12,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,N_A_VENUE,CRYPTO-only field is not executable on TRADIER,N_A_VENUE,CRYPTO-only field is not executable on TRADIER
14,ABLATION_DISABLE_QUICK_EXIT,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_QUICK,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,False,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,CRYPTO,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,13,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,N_A_VENUE,CRYPTO-only field is not executable on TRADIER,N_A_VENUE,CRYPTO-only field is not executable on TRADIER
15,ABLATION_DISABLE_RATIO_REBALANCE,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_RATIO,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,14,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
16,ABLATION_DISABLE_REENTRY,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_REENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D|REENTRY,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,15,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
17,ABLATION_DISABLE_REENTRY_ENFORCE,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_REENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D|REENTRY,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,16,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
18,ABLATION_DISABLE_SCALP_GUARD,LIVE_STRATEGY_VECTOR_REPAIR,live strategy read exists but exact causal vector read is absent,FILTER,ENGINE_AUTO_WIRED|FILTER|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|RECENT_RESULTS_5D,False,"""""",UNKNOWN,"[false,true]",CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,True,False,True,NOT_IN_PARITY_INVENTORY,LIVE_ONLY_NEEDS_VECTOR,live read exists without exact causal vector semantics,VECTOR_CAUSAL_REPAIR,TRADIER,BOTH,MU_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,,,N_A_VENUE,TRADIER-only field is not executable on CRYPTO,N_A_VENUE,TRADIER-only field is not executable on CRYPTO,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
19,ABLATION_DISABLE_SPIKE_FADE_EXIT,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_SPIKE,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,17,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
20,ACCOUNTS,LIVE_STRATEGY_VECTOR_REPAIR,live strategy read exists but exact causal vector read is absent,GLOBAL,ENGINE_AUTO_WIRED|GLOBAL,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED,False,"""""",UNKNOWN,[null],CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,True,False,True,NOT_IN_PARITY_INVENTORY,LIVE_ONLY_NEEDS_VECTOR,live read exists without exact causal vector semantics,VECTOR_CAUSAL_REPAIR,TRADIER,BOTH,MU_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,,,N_A_VENUE,TRADIER-only field is not executable on CRYPTO,N_A_VENUE,TRADIER-only field is not executable on CRYPTO,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
21,ACCOUNT_KEYS,EXTERNAL_METADATA,"external-state/universe control requires integration evidence, not a per-NPZ delta",GLOBAL,ENGINE_AUTO_WIRED|GLOBAL,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED,False,"""""",UNKNOWN,"[null,[""tra"",""trb"",""trc""]]",CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,True,True,True,NOT_IN_PARITY_INVENTORY,N_A,not eligible for a per-ledger uniqueness certificate,N_A_REGISTRY,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,,,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
22,ACCOUNT_OVERRIDES,DEPRECATED,parameter workbook marks the field DEAD/OBSOLETE and no executable read was found,ACCOUNT_OVERRIDES,ENGINE_AUTO_WIRED,ENGINE_AUTO_WIRED,False,"""""",UNKNOWN,[],CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,False,False,False,NOT_IN_PARITY_INVENTORY,N_A,not eligible for a per-ledger uniqueness certificate,N_A_REGISTRY,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,,,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
23,ACCOUNT_SIDE_MAPPING,DEPRECATED,parameter workbook marks the field DEAD/OBSOLETE and no executable read was found,ACCOUNT_SIDE,ENGINE_AUTO_WIRED,ENGINE_AUTO_WIRED,False,"""""",UNKNOWN,[],CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,False,False,False,NOT_IN_PARITY_INVENTORY,N_A,not eligible for a per-ledger uniqueness certificate,N_A_REGISTRY,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,,,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
