field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,notes
BREAKEVEN_GAIN_EROSION_MIN_GAIN,EXIT,50.0,SOURCE_EXACT,breakeven_gain_erosion_exit,ez_positions_quick.py:14340-14368,NONE,gain_pct|position_age_minutes|max_gain_pct|veto/grace flags,N_A_STATE_ONLY,Authoritative config default retained exactly
HARD_BREAKEVEN_FLOOR_ENABLED,EXIT,True,SOURCE_EXACT,breakeven_gain_erosion_exit,ez_positions_quick.py:14352-14368,NONE,max_gain_pct|htf_exit_veto,N_A_STATE_ONLY,Overrides veto after peak but blocks insufficient peak
HARD_BREAKEVEN_MIN_PEAK_PCT,EXIT,0.5,SOURCE_EXACT,breakeven_gain_erosion_exit,ez_positions_quick.py:14352-14368,NONE,max_gain_pct|htf_exit_veto,N_A_STATE_ONLY,Inclusive peak threshold
BREAKEVEN_DC_FIELD_MODE,EXIT,DC4,SOURCE_EXACT,breakeven_dc_structural_exit,ez_positions_quick.py:14369-14393,close_3m|selected dc low/high 3m,position/grace/prior-exit flags,ALL_FALSE_AND_REPORT,DC selects 20-bar; any other value selects DC4
PEAK_GIVEBACK_DROP_TRIGGER_ENABLED,REDUCE,False,SOURCE_EXACT,peak_giveback_exit,ez_positions_quick.py:14449-14467,NONE,gain_pct|max_gain_pct|hedge/grace flags,N_A_STATE_ONLY,Enables configured drop branch; hard-zero remains separate
LOSS_EXIT_STALE_PRICE_ALLOW_NEAR_BE_ENABLED,EXIT,False,SOURCE_EXACT,stale_price_allow_near_breakeven,ez_positions_quick.py:14518-14536,NONE,fresh_gain_pct|max_gain_pct|hard_exit_reason,N_A_STATE_ONLY,Allows fresh gain above -0.5 after peak at least 0.5
LOSS_TECHNICAL_EXIT_NO_STALE_BLOCK,EXIT,True,SOURCE_EXACT,stale_price_abort,ez_positions_quick.py:14518-14536,NONE,fresh_gain_pct|hard_exit_reason|is_hedge,N_A_STATE_ONLY,Hardcoded technical tokens survive stale abort
LOSS_EXIT_TECHNICAL_BYPASS,EXIT,"LIQUIDATION|EMERGENCY_DC1H_BREACH|PARABOLIC_EXIT|GAIN_EROSION",REJECTED_SOURCE_INERT,NONE,ez_positions_quick.py:14553-14569,NONE,hard_exit_reason,N_A_STATE_ONLY,Token is computed but the only consuming no-loss block is commented out
MACD_EXIT_ENABLED,EXIT,False,SOURCE_EXACT,macd_exit,ez_positions_quick.py:4416-4424,macd_crossunder/crossover_selected_tf,gain_pct|position_side,ALL_FALSE_AND_REPORT,Master gate
MACD_EXIT_MIN_GAIN,EXIT,0.3,SOURCE_EXACT,macd_exit,ez_positions_quick.py:4416-4424,macd_crossunder/crossover_selected_tf,gain_pct|position_side,ALL_FALSE_AND_REPORT,Strict gain comparison
MACD_EXIT_TF,EXIT,15m,SOURCE_EXACT,macd_exit,ez_positions_quick.py:4416-4424,macd_crossunder/crossover_selected_tf,gain_pct|position_side,ALL_FALSE_AND_REPORT,No timeframe substitution
SIMPLE_TP_EXIT_ENABLED,REDUCE,False,SOURCE_EXACT,simple_tp_exit,ez_positions_quick.py:3551-3552,NONE,gain_pct,N_A_STATE_ONLY,Master gate
SIMPLE_TP_PCT,REDUCE,0.5,SOURCE_EXACT,simple_tp_exit,ez_positions_quick.py:3551-3552,NONE,gain_pct,N_A_STATE_ONLY,Inclusive take-profit threshold
MI_DIV_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Adds two divergence votes
MI_EXHAUST_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Adds two exhaustion votes
MI_MIN_GAIN_EXIT,EXIT,0.1,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Inclusive gain floor
MI_STRUCT_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Adds two structure votes
MI_VELOCITY_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Adds one vote when at least two velocity TFs oppose
MI_WAVE_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,mi_exit,ez_positions_quick.py:3599-3641,WT structure/momentum/divergence/velocity/wave persisted fields,gain_pct|position_side,ALL_FALSE_AND_REPORT,Adds contracting-wave vote
RULE_B_3M_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,rule_b_3m_exit,ez_positions_quick.py:14655-14669,high_3m|low_3m,rate_recommendation|position_side,ALL_FALSE_AND_REPORT,Previous bar is causal one-row shift
QUICK_REDUCE_TECHNICAL_ONLY,REDUCE,True,SOURCE_EXACT,quick_reduce_allowed,ez_positions_quick.py:14670-14681,NONE,rate recommendation/reason/score|hard-exit state,N_A_STATE_ONLY,Suppresses unnamed composite stochastic reductions
STDEV_BREAKOUT_EXIT_PCTB_FAIL,EXIT,0.75,SOURCE_EXACT,stdev_breakout_exit,ez_positions_quick.py:11843-11874,bb_pct_b_state_tf|wt1_1h|wt2_1h,stdev_breakout_active|state_tf|position_side,ALL_FALSE_AND_REPORT,State HTF is explicit; no TF proxy
STDEV_REJECT_EXIT_TF,EXIT,D,SOURCE_EXACT,stdev_reject_exit,ez_positions_quick.py:11896-11914,bb_pct_b_selected_tf|timestamp_selected_tf|wt_velocity_1h,position_side,ALL_FALSE_AND_REPORT,Previous pctB is reconstructed from the prior distinct native-TF timestamp
HLR_TOP_EXIT_ENABLED,EXIT,True,SOURCE_EXACT,hlr_top_exit,ez_positions_quick.py:3559-3597,WT velocity/momentum/divergence/peak fields 1h|4h|D|W,gain_pct|position_side,ALL_FALSE_AND_REPORT,Native W/D required; no lower-TF proxy
